Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
nis,r,,,nis,,,3,sni,,,sni,,,,,ris,,,,,0,,,,,dni,,,,,0,,
heses,r,,,heses,,,5,esesh,,,esesh,,,,,hases,,,,,1,,,,,esehh,,,,,3,,
cot,r,,,cot,,,3,oct,,,oct,,,,,coc,,,,,2,,,,,ocg,,,,,2,,
ite,r,,,ite,,,3,tie,,,tie,,,,,ihe,,,,,1,,,,,toe,,,,,1,,
hita,r,,,hita,,,4,ahit,,,ahit,,,,,hito,,,,,3,,,,,ahet,,,,,2,,
nis,r,,,nis,,,3,isn,,,isn,,,,,wis,,,,,0,,,,,ibn,,,,,1,,
alpa,r,,,alpa,,,4,paal,,,paal,,,,,ampa,,,,,1,,,,,pael,,,,,2,,
cot,r,,,cot,,,3,tco,,,tco,,,,,cop,,,,,2,,,,,tce,,,,,2,,
hita,r,,,hita,,,4,iath,,,iath,,,,,hata,,,,,1,,,,,iith,,,,,1,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ise,,,,,1,,,,,pei,,,,,0,,
esit,r,,,esit,,,4,iets,,,iets,,,,,eset,,,,,2,,,,,aets,,,,,0,,
day,r,,,day,,,3,ayd,,,ayd,,,,,dan,,,,,2,,,,,amd,,,,,1,,
esit,r,,,esit,,,4,siet,,,siet,,,,,esih,,,,,3,,,,,xiet,,,,,0,,
day,r,,,day,,,3,yda,,,yda,,,,,daw,,,,,2,,,,,wda,,,,,0,,
esit,r,,,esit,,,4,seit,,,seit,,,,,esid,,,,,3,,,,,seat,,,,,2,,
hita,r,,,hita,,,4,hait,,,hait,,,,,tita,,,,,0,,,,,pait,,,,,0,,
day,r,,,day,,,3,ady,,,ady,,,,,dey,,,,,1,,,,,ahy,,,,,1,,
hita,r,,,hita,,,4,iaht,,,iaht,,,,,sita,,,,,0,,,,,iapt,,,,,2,,
cot,r,,,cot,,,3,otc,,,otc,,,,,coh,,,,,2,,,,,utc,,,,,0,,
wowd,r,,,wowd,,,4,wdow,,,wdow,,,,,womd,,,,,2,,,,,mdow,,,,,0,,
wowd,r,,,wowd,,,4,dwow,,,dwow,,,,,wond,,,,,2,,,,,dwiw,,,,,2,,
day,r,,,day,,,3,yad,,,yad,,,,,dan,,,,,2,,,,,yah,,,,,2,,
hita,r,,,hita,,,4,hiat,,,hiat,,,,,heta,,,,,1,,,,,hiac,,,,,3,,
ert,r,,,ert,,,3,etr,,,etr,,,,,erk,,,,,2,,,,,esr,,,,,1,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ice,,,,,1,,,,,eik,,,,,2,,
alpa,r,,,alpa,,,4,lpaa,,,lpaa,,,,,awpa,,,,,1,,,,,wpaa,,,,,0,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ice,,,,,1,,,,,tee,,,,,2,,
hita,r,,,hita,,,4,taih,,,taih,,,,,hiba,,,,,2,,,,,toih,,,,,1,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ito,,,,,2,,,,,ait,,,,,0,,
day,r,,,day,,,3,yad,,,yad,,,,,diy,,,,,1,,,,,rad,,,,,0,,
esit,r,,,esit,,,4,teis,,,teis,,,,,esid,,,,,3,,,,,tees,,,,,2,,
hita,r,,,hita,,,4,iaht,,,iaht,,,,,heta,,,,,1,,,,,oaht,,,,,0,,
alpa,r,,,alpa,,,4,lapa,,,lapa,,,,,ampa,,,,,1,,,,,lapu,,,,,3,,
hita,r,,,hita,,,4,ihat,,,ihat,,,,,cita,,,,,0,,,,,ihit,,,,,2,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ihe,,,,,1,,,,,teo,,,,,2,,
nis,r,,,nis,,,3,isn,,,isn,,,,,nos,,,,,1,,,,,itn,,,,,1,,
wowd,r,,,wowd,,,4,doww,,,doww,,,,,wold,,,,,2,,,,,diww,,,,,1,,
hita,r,,,hita,,,4,aith,,,aith,,,,,hite,,,,,3,,,,,aitc,,,,,3,,
hita,r,,,hita,,,4,taih,,,taih,,,,,hota,,,,,1,,,,,tuih,,,,,1,,
hita,r,,,hita,,,4,hiat,,,hiat,,,,,hifa,,,,,2,,,,,hiet,,,,,2,,
esit,r,,,esit,,,4,tsie,,,tsie,,,,,esid,,,,,3,,,,,dsie,,,,,0,,
cot,r,,,cot,,,3,oct,,,oct,,,,,cet,,,,,1,,,,,occ,,,,,2,,
day,r,,,day,,,3,dya,,,dya,,,,,hay,,,,,0,,,,,tya,,,,,0,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ute,,,,,0,,,,,tii,,,,,1,,
ert,r,,,ert,,,3,ret,,,ret,,,,,ort,,,,,0,,,,,met,,,,,0,,
day,r,,,day,,,3,yad,,,yad,,,,,doy,,,,,1,,,,,rad,,,,,0,,
wowd,r,,,wowd,,,4,wdow,,,wdow,,,,,wowt,,,,,3,,,,,wdon,,,,,3,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,nos,,,,,1,,,,,nhi,,,,,1,,
nis,r,,,nis,,,3,ins,,,ins,,,,,nes,,,,,1,,,,,ims,,,,,1,,
wowd,r,,,wowd,,,4,wwod,,,wwod,,,,,wows,,,,,3,,,,,wwed,,,,,2,,
nis,r,,,nis,,,3,ins,,,ins,,,,,nos,,,,,1,,,,,ans,,,,,0,,
esit,r,,,esit,,,4,etis,,,etis,,,,,usit,,,,,0,,,,,utis,,,,,0,,
ert,r,,,ert,,,3,rte,,,rte,,,,,erb,,,,,2,,,,,rse,,,,,1,,
ert,r,,,ert,,,3,tre,,,tre,,,,,irt,,,,,0,,,,,tle,,,,,1,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ito,,,,,2,,,,,esi,,,,,1,,
alpa,r,,,alpa,,,4,apla,,,apla,,,,,alfa,,,,,2,,,,,apra,,,,,2,,
heses,r,,,heses,,,5,sseeh,,,sseeh,,,,,feses,,,,,0,,,,,steeh,,,,,1,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ito,,,,,2,,,,,eic,,,,,2,,
cot,r,,,cot,,,3,otc,,,otc,,,,,hot,,,,,0,,,,,otd,,,,,2,,
alpa,r,,,alpa,,,4,lpaa,,,lpaa,,,,,anpa,,,,,1,,,,,lpae,,,,,3,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ihe,,,,,1,,,,,tui,,,,,1,,
ert,r,,,ert,,,3,ret,,,ret,,,,,eyt,,,,,1,,,,,red,,,,,2,,
ert,r,,,ert,,,3,etr,,,etr,,,,,ent,,,,,1,,,,,etw,,,,,2,,
alpa,r,,,alpa,,,4,laap,,,laap,,,,,alpe,,,,,3,,,,,yaap,,,,,0,,
wowd,r,,,wowd,,,4,doww,,,doww,,,,,womd,,,,,2,,,,,soww,,,,,0,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ike,,,,,1,,,,,tee,,,,,2,,
nis,r,,,nis,,,3,isn,,,isn,,,,,nik,,,,,2,,,,,isl,,,,,2,,
wowd,r,,,wowd,,,4,wodw,,,wodw,,,,,mowd,,,,,0,,,,,wedw,,,,,1,,
cot,r,,,cot,,,3,tco,,,tco,,,,,tot,,,,,0,,,,,tca,,,,,2,,
cot,r,,,cot,,,3,oct,,,oct,,,,,sot,,,,,0,,,,,ocq,,,,,2,,
wowd,r,,,wowd,,,4,odww,,,odww,,,,,lowd,,,,,0,,,,,adww,,,,,0,,
esit,r,,,esit,,,4,ites,,,ites,,,,,isit,,,,,0,,,,,otes,,,,,0,,
ert,r,,,ert,,,3,ret,,,ret,,,,,emt,,,,,1,,,,,res,,,,,2,,
ite,r,,,ite,,,3,tie,,,tie,,,,,ise,,,,,1,,,,,cie,,,,,0,,
day,r,,,day,,,3,ady,,,ady,,,,,tay,,,,,0,,,,,edy,,,,,0,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,nid,,,,,2,,,,,npi,,,,,1,,
heses,r,,,heses,,,5,sshee,,,sshee,,,,,seses,,,,,0,,,,,sshoe,,,,,3,,
esit,r,,,esit,,,4,tsie,,,tsie,,,,,etit,,,,,1,,,,,tsiu,,,,,3,,
nis,r,,,nis,,,3,isn,,,isn,,,,,nas,,,,,1,,,,,itn,,,,,1,,
cot,r,,,cot,,,3,oct,,,oct,,,,,pot,,,,,0,,,,,oht,,,,,1,,
wowd,r,,,wowd,,,4,dwwo,,,dwwo,,,,,lowd,,,,,0,,,,,twwo,,,,,0,,
day,r,,,day,,,3,yda,,,yda,,,,,tay,,,,,0,,,,,yka,,,,,1,,
hita,r,,,hita,,,4,taih,,,taih,,,,,hida,,,,,2,,,,,teih,,,,,1,,
alpa,r,,,alpa,,,4,lpaa,,,lpaa,,,,,arpa,,,,,1,,,,,lpae,,,,,3,,
hita,r,,,hita,,,4,itah,,,itah,,,,,tita,,,,,0,,,,,itih,,,,,2,,
wowd,r,,,wowd,,,4,owdw,,,owdw,,,,,wowt,,,,,3,,,,,ewdw,,,,,0,,
cot,r,,,cot,,,3,tco,,,tco,,,,,bot,,,,,0,,,,,cco,,,,,0,,
heses,r,,,heses,,,5,seseh,,,seseh,,,,,hases,,,,,1,,,,,seses,,,,,4,,
heses,r,,,heses,,,5,esshe,,,esshe,,,,,heves,,,,,2,,,,,edshe,,,,,1,,
alpa,r,,,alpa,,,4,apal,,,apal,,,,,ampa,,,,,1,,,,,ipal,,,,,0,,
esit,r,,,esit,,,4,esti,,,esti,,,,,esih,,,,,3,,,,,osti,,,,,0,,
day,r,,,day,,,3,yad,,,yad,,,,,dan,,,,,2,,,,,yed,,,,,1,,
ert,r,,,ert,,,3,rte,,,rte,,,,,elt,,,,,1,,,,,mte,,,,,0,,
ite,r,,,ite,,,3,eti,,,eti,,,,,iti,,,,,2,,,,,eto,,,,,2,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ihe,,,,,1,,,,,ete,,,,,2,,
alpa,r,,,alpa,,,4,apla,,,apla,,,,,alpi,,,,,3,,,,,aplo,,,,,3,,
hita,r,,,hita,,,4,aiht,,,aiht,,,,,heta,,,,,1,,,,,auht,,,,,1,,
esit,r,,,esit,,,4,site,,,site,,,,,osit,,,,,0,,,,,gite,,,,,0,,
cot,r,,,cot,,,3,oct,,,oct,,,,,sot,,,,,0,,,,,ovt,,,,,1,,
cot,r,,,cot,,,3,cto,,,cto,,,,,cod,,,,,2,,,,,cta,,,,,2,,
esit,r,,,esit,,,4,eist,,,eist,,,,,edit,,,,,1,,,,,eiss,,,,,3,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,nic,,,,,2,,,,,lsi,,,,,0,,
day,r,,,day,,,3,yda,,,yda,,,,,dar,,,,,2,,,,,ydi,,,,,2,,
heses,r,,,heses,,,5,sehse,,,sehse,,,,,heset,,,,,4,,,,,segse,,,,,2,,
day,r,,,day,,,3,yad,,,yad,,,,,tay,,,,,0,,,,,yak,,,,,2,,
cot,r,,,cot,,,3,oct,,,oct,,,,,tot,,,,,0,,,,,ocs,,,,,2,,
alpa,r,,,alpa,,,4,paal,,,paal,,,,,alpo,,,,,3,,,,,poal,,,,,1,,
wowd,r,,,wowd,,,4,owwd,,,owwd,,,,,wiwd,,,,,1,,,,,owrd,,,,,2,,
heses,r,,,heses,,,5,sseeh,,,sseeh,,,,,teses,,,,,0,,,,,sdeeh,,,,,1,,
esit,r,,,esit,,,4,eits,,,eits,,,,,isit,,,,,0,,,,,iits,,,,,0,,
day,r,,,day,,,3,ady,,,ady,,,,,dal,,,,,2,,,,,edy,,,,,0,,
nis,r,,,nis,,,3,ins,,,ins,,,,,nit,,,,,2,,,,,inh,,,,,2,,
wowd,r,,,wowd,,,4,wdow,,,wdow,,,,,mowd,,,,,0,,,,,wcow,,,,,1,,
nis,r,,,nis,,,3,sin,,,sin,,,,,wis,,,,,0,,,,,tin,,,,,0,,
nis,r,,,nis,,,3,ins,,,ins,,,,,ris,,,,,0,,,,,ils,,,,,1,,
ite,r,,,ite,,,3,tie,,,tie,,,,,iti,,,,,2,,,,,sie,,,,,0,,
ert,r,,,ert,,,3,etr,,,etr,,,,,irt,,,,,0,,,,,etn,,,,,2,,
cot,r,,,cot,,,3,oct,,,oct,,,,,cet,,,,,1,,,,,act,,,,,0,,
wowd,r,,,wowd,,,4,doww,,,doww,,,,,wawd,,,,,1,,,,,diww,,,,,1,,
hita,r,,,hita,,,4,ahit,,,ahit,,,,,hite,,,,,3,,,,,adit,,,,,1,,
ert,r,,,ert,,,3,ter,,,ter,,,,,erc,,,,,2,,,,,ten,,,,,2,,
wowd,r,,,wowd,,,4,wodw,,,wodw,,,,,wowc,,,,,3,,,,,wovw,,,,,2,,
wowd,r,,,wowd,,,4,wdwo,,,wdwo,,,,,wowt,,,,,3,,,,,wdwa,,,,,3,,
wowd,r,,,wowd,,,4,dwow,,,dwow,,,,,jowd,,,,,0,,,,,dwiw,,,,,2,,
wowd,r,,,wowd,,,4,odww,,,odww,,,,,womd,,,,,2,,,,,adww,,,,,0,,
heses,r,,,heses,,,5,seesh,,,seesh,,,,,hesos,,,,,3,,,,,seish,,,,,2,,
wowd,r,,,wowd,,,4,wdwo,,,wdwo,,,,,wowt,,,,,3,,,,,rdwo,,,,,0,,
hita,r,,,hita,,,4,tiah,,,tiah,,,,,hipa,,,,,2,,,,,tiih,,,,,2,,
ert,r,,,ert,,,3,ret,,,ret,,,,,ewt,,,,,1,,,,,rot,,,,,1,,
ert,r,,,ert,,,3,rte,,,rte,,,,,erx,,,,,2,,,,,rta,,,,,2,,
nis,r,,,nis,,,3,isn,,,isn,,,,,wis,,,,,0,,,,,isr,,,,,2,,
esit,r,,,esit,,,4,esti,,,esti,,,,,osit,,,,,0,,,,,epti,,,,,1,,
cot,r,,,cot,,,3,toc,,,toc,,,,,coh,,,,,2,,,,,hoc,,,,,0,,
wowd,r,,,wowd,,,4,dwow,,,dwow,,,,,lowd,,,,,0,,,,,dmow,,,,,1,,
day,r,,,day,,,3,dya,,,dya,,,,,hay,,,,,0,,,,,dyu,,,,,2,,
heses,r,,,heses,,,5,ehsse,,,ehsse,,,,,hehes,,,,,2,,,,,ehhse,,,,,2,,
esit,r,,,esit,,,4,seti,,,seti,,,,,esot,,,,,2,,,,,siti,,,,,1,,
day,r,,,day,,,3,yad,,,yad,,,,,diy,,,,,1,,,,,lad,,,,,0,,
hita,r,,,hita,,,4,aith,,,aith,,,,,hiti,,,,,3,,,,,aish,,,,,2,,
nis,r,,,nis,,,3,sin,,,sin,,,,,nik,,,,,2,,,,,sen,,,,,1,,
ert,r,,,ert,,,3,tre,,,tre,,,,,ort,,,,,0,,,,,tra,,,,,2,,
ert,r,,,ert,,,3,rte,,,rte,,,,,ers,,,,,2,,,,,mte,,,,,0,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ote,,,,,0,,,,,epi,,,,,1,,
ert,r,,,ert,,,3,ter,,,ter,,,,,erp,,,,,2,,,,,ber,,,,,0,,
hita,r,,,hita,,,4,iath,,,iath,,,,,heta,,,,,1,,,,,iuth,,,,,1,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,nid,,,,,2,,,,,lsi,,,,,0,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ito,,,,,2,,,,,ehi,,,,,1,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ito,,,,,2,,,,,iti,,,,,0,,
cot,r,,,cot,,,3,tco,,,tco,,,,,cet,,,,,1,,,,,tce,,,,,2,,
wowd,r,,,wowd,,,4,dwwo,,,dwwo,,,,,wows,,,,,3,,,,,twwo,,,,,0,,
wowd,r,,,wowd,,,4,dwwo,,,dwwo,,,,,wiwd,,,,,1,,,,,dwro,,,,,2,,
ert,r,,,ert,,,3,rte,,,rte,,,,,irt,,,,,0,,,,,mte,,,,,0,,
day,r,,,day,,,3,ady,,,ady,,,,,tay,,,,,0,,,,,edy,,,,,0,,
cot,r,,,cot,,,3,oct,,,oct,,,,,cet,,,,,1,,,,,opt,,,,,1,,
esit,r,,,esit,,,4,eist,,,eist,,,,,esih,,,,,3,,,,,eiht,,,,,2,,
cot,r,,,cot,,,3,tco,,,tco,,,,,coh,,,,,2,,,,,tgo,,,,,1,,
hita,r,,,hita,,,4,hait,,,hait,,,,,hisa,,,,,2,,,,,cait,,,,,0,,
ite,r,,,ite,,,3,tie,,,tie,,,,,ihe,,,,,1,,,,,tii,,,,,2,,
ite,r,,,ite,,,3,tie,,,tie,,,,,ise,,,,,1,,,,,kie,,,,,0,,
ert,r,,,ert,,,3,ret,,,ret,,,,,erg,,,,,2,,,,,rit,,,,,1,,
cot,r,,,cot,,,3,toc,,,toc,,,,,dot,,,,,0,,,,,tac,,,,,1,,
wowd,r,,,wowd,,,4,doww,,,doww,,,,,wewd,,,,,1,,,,,dowm,,,,,3,,
wowd,r,,,wowd,,,4,wwdo,,,wwdo,,,,,wawd,,,,,1,,,,,wwde,,,,,3,,
alpa,r,,,alpa,,,4,apal,,,apal,,,,,ilpa,,,,,0,,,,,apol,,,,,2,,
day,r,,,day,,,3,yad,,,yad,,,,,dal,,,,,2,,,,,rad,,,,,0,,
esit,r,,,esit,,,4,tise,,,tise,,,,,ehit,,,,,1,,,,,tihe,,,,,2,,
hita,r,,,hita,,,4,htai,,,htai,,,,,hiti,,,,,3,,,,,htei,,,,,2,,
alpa,r,,,alpa,,,4,pala,,,pala,,,,,alpi,,,,,3,,,,,pela,,,,,1,,
esit,r,,,esit,,,4,siet,,,siet,,,,,eset,,,,,2,,,,,seet,,,,,1,,
heses,r,,,heses,,,5,seseh,,,seseh,,,,,heset,,,,,4,,,,,sesih,,,,,3,,
esit,r,,,esit,,,4,tise,,,tise,,,,,osit,,,,,0,,,,,tihe,,,,,2,,
esit,r,,,esit,,,4,iset,,,iset,,,,,etit,,,,,1,,,,,iseh,,,,,3,,
ert,r,,,ert,,,3,ter,,,ter,,,,,emt,,,,,1,,,,,ser,,,,,0,,
ite,r,,,ite,,,3,iet,,,iet,,,,,ita,,,,,2,,,,,iat,,,,,1,,
cot,r,,,cot,,,3,tco,,,tco,,,,,cit,,,,,1,,,,,tho,,,,,1,,
ert,r,,,ert,,,3,ret,,,ret,,,,,emt,,,,,1,,,,,rat,,,,,1,,
hita,r,,,hita,,,4,thia,,,thia,,,,,heta,,,,,1,,,,,thea,,,,,2,,
heses,r,,,heses,,,5,eshse,,,eshse,,,,,huses,,,,,1,,,,,ehhse,,,,,1,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,nih,,,,,2,,,,,wsi,,,,,0,,
ite,r,,,ite,,,3,eti,,,eti,,,,,ote,,,,,0,,,,,ati,,,,,0,,
ert,r,,,ert,,,3,ter,,,ter,,,,,ort,,,,,0,,,,,ser,,,,,0,,
alpa,r,,,alpa,,,4,pala,,,pala,,,,,awpa,,,,,1,,,,,para,,,,,2,,
ert,r,,,ert,,,3,ter,,,ter,,,,,erd,,,,,2,,,,,tey,,,,,2,,
alpa,r,,,alpa,,,4,apla,,,apla,,,,,alpe,,,,,3,,,,,apma,,,,,2,,
esit,r,,,esit,,,4,seit,,,seit,,,,,ebit,,,,,1,,,,,seet,,,,,2,,
nis,r,,,nis,,,3,sni,,,sni,,,,,ris,,,,,0,,,,,sne,,,,,2,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ate,,,,,0,,,,,uit,,,,,0,,
ert,r,,,ert,,,3,ret,,,ret,,,,,eyt,,,,,1,,,,,rot,,,,,1,,
esit,r,,,esit,,,4,iest,,,iest,,,,,esot,,,,,2,,,,,iesb,,,,,3,,
ite,r,,,ite,,,3,tie,,,tie,,,,,ide,,,,,1,,,,,die,,,,,0,,
alpa,r,,,alpa,,,4,lapa,,,lapa,,,,,awpa,,,,,1,,,,,wapa,,,,,0,,
heses,r,,,heses,,,5,hesse,,,hesse,,,,,hepes,,,,,2,,,,,hessa,,,,,4,,
ite,r,,,ite,,,3,eit,,,eit,,,,,iti,,,,,2,,,,,eat,,,,,1,,
esit,r,,,esit,,,4,stie,,,stie,,,,,esip,,,,,3,,,,,stio,,,,,3,,
esit,r,,,esit,,,4,iets,,,iets,,,,,asit,,,,,0,,,,,ietd,,,,,3,,
esit,r,,,esit,,,4,tsei,,,tsei,,,,,esot,,,,,2,,,,,thei,,,,,1,,
wowd,r,,,wowd,,,4,wdow,,,wdow,,,,,rowd,,,,,0,,,,,wdom,,,,,3,,
day,r,,,day,,,3,yda,,,yda,,,,,dam,,,,,2,,,,,rda,,,,,0,,
esit,r,,,esit,,,4,itse,,,itse,,,,,isit,,,,,0,,,,,etse,,,,,0,,
alpa,r,,,alpa,,,4,plaa,,,plaa,,,,,alva,,,,,2,,,,,plau,,,,,3,,
ert,r,,,ert,,,3,ret,,,ret,,,,,irt,,,,,0,,,,,ref,,,,,2,,
hita,r,,,hita,,,4,tahi,,,tahi,,,,,hite,,,,,3,,,,,tati,,,,,2,,
wowd,r,,,wowd,,,4,wdwo,,,wdwo,,,,,wawd,,,,,1,,,,,wtwo,,,,,1,,
nis,r,,,nis,,,3,sni,,,sni,,,,,lis,,,,,0,,,,,sna,,,,,2,,
esit,r,,,esit,,,4,tsei,,,tsei,,,,,etit,,,,,1,,,,,tsii,,,,,2,,
day,r,,,day,,,3,yda,,,yda,,,,,hay,,,,,0,,,,,yta,,,,,1,,
ite,r,,,ite,,,3,tie,,,tie,,,,,iti,,,,,2,,,,,pie,,,,,0,,
alpa,r,,,alpa,,,4,plaa,,,plaa,,,,,elpa,,,,,0,,,,,plea,,,,,2,,
hita,r,,,hita,,,4,htai,,,htai,,,,,pita,,,,,0,,,,,ttai,,,,,0,,
alpa,r,,,alpa,,,4,pala,,,pala,,,,,arpa,,,,,1,,,,,pila,,,,,1,,
cot,r,,,cot,,,3,toc,,,toc,,,,,cop,,,,,2,,,,,toh,,,,,2,,
alpa,r,,,alpa,,,4,alap,,,alap,,,,,arpa,,,,,1,,,,,alip,,,,,2,,
wowd,r,,,wowd,,,4,wodw,,,wodw,,,,,wewd,,,,,1,,,,,lodw,,,,,0,,
esit,r,,,esit,,,4,ites,,,ites,,,,,esih,,,,,3,,,,,iteh,,,,,3,,
wowd,r,,,wowd,,,4,owdw,,,owdw,,,,,word,,,,,2,,,,,ordw,,,,,1,,
nis,r,,,nis,,,3,nsi,,,nsi,,,,,mis,,,,,0,,,,,nse,,,,,2,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ipe,,,,,1,,,,,eet,,,,,1,,
ite,r,,,ite,,,3,tei,,,tei,,,,,ote,,,,,0,,,,,dei,,,,,0,,
day,r,,,day,,,3,dya,,,dya,,,,,doy,,,,,1,,,,,dna,,,,,1,,
ite,r,,,ite,,,3,eit,,,eit,,,,,ito,,,,,2,,,,,eig,,,,,2,,
day,r,,,day,,,3,ayd,,,ayd,,,,,dey,,,,,1,,,,,oyd,,,,,0,,
nis,r,,,nis,,,3,isn,,,isn,,,,,nit,,,,,2,,,,,ifn,,,,,1,,
cot,r,,,cot,,,3,otc,,,otc,,,,,cat,,,,,1,,,,,oqc,,,,,1,,
nis,r,,,nis,,,3,sni,,,sni,,,,,nih,,,,,2,,,,,tni,,,,,0,,
wowd,r,,,wowd,,,4,wdow,,,wdow,,,,,yowd,,,,,0,,,,,wsow,,,,,1,,
heses,r,,,heses,,,5,esesh,,,esesh,,,,,hises,,,,,1,,,,,asesh,,,,,0,,
cot,r,,,cot,,,3,otc,,,otc,,,,,coh,,,,,2,,,,,etc,,,,,0,,
esit,r,,,esit,,,4,etsi,,,etsi,,,,,osit,,,,,0,,,,,ethi,,,,,2,,
wowd,r,,,wowd,,,4,wdwo,,,wdwo,,,,,wawd,,,,,1,,,,,wdmo,,,,,2,,
day,r,,,day,,,3,ayd,,,ayd,,,,,bay,,,,,0,,,,,awd,,,,,1,,
alpa,r,,,alpa,,,4,aalp,,,aalp,,,,,elpa,,,,,0,,,,,aelp,,,,,1,,
day,r,,,day,,,3,ayd,,,ayd,,,,,diy,,,,,1,,,,,ayh,,,,,2,,
heses,r,,,heses,,,5,ssehe,,,ssehe,,,,,hesec,,,,,4,,,,,dsehe,,,,,0,,
ert,r,,,ert,,,3,ret,,,ret,,,,,ewt,,,,,1,,,,,yet,,,,,0,,
day,r,,,day,,,3,ady,,,ady,,,,,diy,,,,,1,,,,,adr,,,,,2,,
day,r,,,day,,,3,ady,,,ady,,,,,diy,,,,,1,,,,,adm,,,,,2,,
esit,r,,,esit,,,4,eits,,,eits,,,,,esot,,,,,2,,,,,eets,,,,,1,,
